Rf_ohm,Cpd_F,ft_Hz,selected_Cf_F,best_peaking_dB,bandwidth_Hz,phase_at_bandwidth_deg,classification,classification_code
10000,1e-12,1000000,1e-13,1.78799812881671e-10,1066012.91566857,-49.3376359362177,Safe,1
10000,1e-12,1125335.58260076,1e-13,1.38649074484992e-10,1209440.99329576,-49.9389165996359,Safe,1
10000,1e-12,1266380.1734674,1e-13,1.07225499660331e-10,1373620.8308767,-50.6322256788803,Safe,1
10000,1e-12,1425102.670303,1e-13,8.26640790874875e-11,1561613.45347523,-51.4276577191763,Safe,1
10000,1e-12,1603718.74375133,1e-13,6.34932490525695e-11,1777744.02081191,-52.3514203824522,Safe,1
10000,1e-12,1804721.76682717,1e-13,4.85519592858892e-11,2026568.06697438,-53.4229715615031,Safe,1
10000,1e-12,2030917.62090473,1e-13,3.69298846590462e-11,2313423.93070655,-54.666279689292,Safe,1
10000,1e-12,2285463.86413499,1e-13,2.79134228468066e-11,2645186.40338074,-56.117306891931,Safe,1
10000,1e-12,2571913.80905935,1e-13,2.09336206439135e-11,3028855.1750371,-57.8055268064023,Safe,1
10000,1e-12,2894266.12471675,1e-13,1.5543030105892e-11,3473191.26062247,-59.7732010482702,Safe,1
10000,1e-12,3257020.65565978,1e-13,1.13964219997193e-11,3987760.02649144,-62.0632986565016,Safe,1
10000,1e-12,3665241.23707963,1e-13,8.21799866996323e-12,4580312.2570182,-64.6988199099033,Safe,1
10000,1e-12,4124626.38290135,1e-13,5.79753672891643e-12,5260574.73334292,-67.7152859024121,Safe,1
10000,1e-12,4641588.83361278,1e-13,3.96338588753311e-12,6034828.78731694,-71.1162616932079,Safe,1
10000,1e-12,5223345.07426684,1e-13,2.58246895542932e-12,6902777.55394085,-74.8536874770556,Safe,1
10000,1e-12,5878016.07227491,1e-13,1.55449587608376e-12,7866118.58243956,-78.8923970828335,Safe,1
10000,1e-12,6614740.64123015,1e-13,7.96534487372979e-13,8916027.35247492,-83.1210266768305,Safe,1
10000,1e-12,7443803.0132517,1e-13,2.46867831437638e-13,10045751.1377996,-87.4466775376526,Safe,1
10000,1e-12,8376776.40068292,4.64158883361277e-13,2.12152042641723e-14,9518773.70228097,-89.7997600556739,Safe,1
10000,1e-12,9426684.55117885,7.4438030132517e-13,2.12152042641723e-14,9250214.11693805,-89.7916520683373,Safe,1
10000,1e-12,10608183.5513945,9.42668455117885e-13,1.11861986120181e-13,9210653.01963757,-89.0334336973947,Safe,1
10000,1e-12,11937766.4171444,1.06081835513945e-12,1.89008183444442e-13,9396822.42488836,-88.2883319486501,Safe,1
10000,1e-12,13433993.325989,1.06081835513945e-12,1.2921988051814e-13,10020260.1348646,-88.6937268658706,Safe,1
10000,1e-12,15117750.7061566,1.06081835513945e-12,1.04147366387754e-13,10645973.1370521,-88.8140661572725,Safe,1
10000,1e-12,17012542.7985259,1.06081835513945e-12,1.00290056521541e-13,11271196.1637418,-88.6592462599863,Safe,1
10000,1e-12,19144819.7616996,1.06081835513945e-12,1.2343391571882e-13,11888299.8026255,-88.2124178525933,Safe,1
10000,1e-12,21544346.9003188,1.06081835513945e-12,1.56221049581631e-13,12492904.7435407,-87.4880771674617,Safe,1
10000,1e-12,24244620.1708233,9.42668455117885e-13,7.71461973242629e-15,14072015.4032645,-89.8762757977021,Safe,1
10000,1e-12,27283333.7648677,9.42668455117885e-13,5.01450282607708e-14,14745609.8581406,-88.8959801175905,Safe,1
10000,1e-12,30702906.2975785,9.42668455117885e-13,9.64327466553282e-14,15389002.4976905,-87.6290794679513,Safe,1
10000,1e-12,34551072.9459222,9.42668455117885e-13,1.44649119982992e-13,16000960.0572453,-86.1278698163274,Safe,1
10000,1e-12,38881551.8030809,8.37677640068292e-13,4.24304085283445e-14,18043133.9747191,-88.6538876717192,Safe,1
10000,1e-12,43754793.7507418,8.37677640068292e-13,8.29321621235823e-14,18705102.884403,-86.890788758862,Safe,1
10000,1e-12,49238826.3170674,7.4438030132517e-13,1.3500584531746e-14,21079362.9168392,-89.5568242629536,Safe,1
10000,1e-12,55410203.3000949,7.4438030132517e-13,5.01450282607708e-14,21794509.32611,-87.5503846416883,Safe,1
10000,1e-12,62355073.4127391,7.4438030132517e-13,8.48608170566889e-14,22438309.2142505,-85.3344424970236,Safe,1
10000,1e-12,70170382.8670384,6.61474064123016e-13,3.08584789297051e-14,25320077.7627639,-88.1269368439674,Safe,1
10000,1e-12,78965228.6849973,6.61474064123016e-13,6.17169578594101e-14,26002809.3624329,-85.6963130594111,Safe,1
10000,1e-12,88862381.6274341,5.87801607227492e-13,1.3500584531746e-14,29335062.7096164,-88.6269915867269,Safe,1
10000,1e-12,100000000,5.87801607227492e-13,3.85730986621314e-14,30056416.8309327,-85.9961165937768,Safe,1
10000,5e-12,1000000,1e-13,7.60102195683306e-11,1340580.47657034,-72.5487780368217,Safe,1
10000,5e-12,1125335.58260076,1e-13,4.73099055089754e-11,1537348.42313274,-76.6307897220494,Safe,1
10000,5e-12,1266380.1734674,1e-13,2.606191411103e-11,1754746.52615159,-81.0153039973133,Safe,1
10000,5e-12,1425102.670303,1e-13,1.05362418995548e-11,1991260.95501767,-85.6031673356391,Safe,1
10000,5e-12,1603718.74375133,9.42668455117885e-13,1.08004676253967e-13,2071089.60851051,-89.9466263676469,Safe,1
10000,5e-12,1804721.76682717,3.45510729459222e-12,1.2285531923888e-12,1833483.29765414,-89.5768052377473,Safe,1
10000,5e-12,2030917.62090473,4.37547937507418e-12,1.76857657365855e-12,1842917.94355898,-89.3971486192772,Safe,1
10000,5e-12,2285463.86413499,4.92388263170673e-12,2.50339410317197e-12,1892949.2550767,-89.0925357350816,Safe,1
10000,5e-12,2571913.80905935,4.92388263170673e-12,5.30380106604292e-13,2025312.78858629,-89.7752519848765,Safe,1
10000,5e-12,2894266.12471675,5.5410203300095e-12,4.80620809330025e-12,2037088.41784131,-87.9576494056687,Safe,1
10000,5e-12,3257020.65565978,5.5410203300095e-12,4.61527125492281e-12,2156574.27256977,-87.8007697674326,Safe,1
10000,5e-12,3665241.23707963,5.5410203300095e-12,4.95278586821627e-12,2274868.35039608,-87.3705934481334,Safe,1
10000,5e-12,4124626.38290135,4.92388263170673e-12,4.41661979681394e-13,2562612.48867227,-89.706080272252,Safe,1
10000,5e-12,4641588.83361278,4.92388263170673e-12,1.38477424197041e-12,2693808.35510009,-88.9799199963187,Safe,1
10000,5e-12,5223345.07426684,4.92388263170673e-12,2.46867831437606e-12,2821504.9798335,-87.9869551868107,Safe,1
10000,5e-12,5878016.07227491,4.92388263170673e-12,3.63165723903892e-12,2944102.64052498,-86.7354767795008,Safe,1
10000,5e-12,6614740.64123015,4.37547937507418e-12,7.05887705516977e-13,3318192.97137967,-89.2111862726368,Safe,1
10000,5e-12,7443803.0132517,4.37547937507418e-12,1.88236721471181e-12,3452424.55972206,-87.6998438940017,Safe,1
10000,5e-12,8376776.40068292,4.37547937507418e-12,3.03377420977611e-12,3577012.89699082,-85.9362327035998,Safe,1
10000,5e-12,9426684.55117885,3.88815518030809e-12,8.7560933963034e-13,4034075.841785,-88.5449461188975,Safe,1
10000,5e-12,10608183.5513945,3.88815518030809e-12,1.9112970387084e-12,4168607.12089212,-86.5465687981874,Safe,1
10000,5e-12,11937766.4171444,3.45510729459222e-12,3.12442099163259e-13,4699192.70197758,-89.2989107310631,Safe,1
10000,5e-12,13433993.325989,3.45510729459222e-12,1.20540933319153e-12,4843674.96064155,-87.0726078385468,Safe,1
10000,5e-12,15117750.7061566,3.07029062975785e-12,7.71461973242629e-15,5457805.86616815,-89.9640205419798,Safe,1
10000,5e-12,17012542.7985259,3.07029062975785e-12,7.6374735351017e-13,5612348.01970964,-87.5210166032185,Safe,1
10000,5e-12,19144819.7616996,3.07029062975785e-12,1.45613447449534e-12,5744991.69181463,-84.895335577339,Safe,1
10000,5e-12,21544346.9003188,2.72833337648677e-12,4.86021043142843e-13,6486190.02693409,-87.901702056444,Safe,1
10000,5e-12,24244620.1708233,2.72833337648677e-12,1.05883155827544e-12,6624745.01425354,-85.0915012856246,Safe,1
10000,5e-12,27283333.7648677,2.42446201708233e-12,3.08584789297046e-13,7478474.3920534,-88.2270302616355,Safe,1
10000,5e-12,30702906.2975785,2.42446201708233e-12,7.77247938041915e-13,7620983.28337003,-85.2317662126243,Safe,1
10000,5e-12,34551072.9459222,2.15443469003189e-12,1.98651458109975e-13,8603403.13355695,-88.5012222527149,Safe,1
10000,5e-12,38881551.8030809,2.15443469003189e-12,5.78596479931953e-13,8748195.73735704,-85.3279057806839,Safe,1
10000,5e-12,43754793.7507418,1.91448197616996e-12,1.27291225585033e-13,9874829.90530778,-88.7120394568605,Safe,1
10000,5e-12,49238826.3170674,1.91448197616996e-12,4.32018705015862e-13,10025348.7627235,-85.4090099553023,Safe,1
10000,5e-12,55410203.3000949,1.70125427985259e-12,8.29321621235823e-14,11315428.1225365,-88.9033889215589,Safe,1
10000,5e-12,62355073.4127391,1.70125427985259e-12,3.27871338628111e-13,11465442.5625117,-85.443818297664,Safe,1
10000,5e-12,70170382.8670384,1.51177507061566e-12,5.59309930600905e-14,12941614.4329643,-89.0503847482108,Safe,1
10000,5e-12,78965228.6849973,1.51177507061566e-12,2.54582451170064e-13,13094797.5082865,-85.4763117470621,Safe,1
10000,5e-12,88862381.6274341,1.3433993325989e-12,3.85730986621314e-14,14779656.1028753,-89.1788749613753,Safe,1
10000,5e-12,100000000,1.3433993325989e-12,1.92865493310655e-13,14929632.8054245,-85.4732457028617,Safe,1
10000,1e-11,1000000,8.88623816274341e-12,1.12710594290675e-11,907355.381156923,-89.0663974145736,Safe,1
10000,1e-11,1125335.58260076,1e-11,1.38593143492928e-11,932040.647539082,-88.7864776378823,Safe,1
10000,1e-11,1266380.1734674,1e-11,5.32308761537251e-12,997150.478781509,-89.459043430456,Safe,1
10000,1e-11,1425102.670303,1e-11,1.10511927667e-12,1063075.0754691,-89.8590864416037,Safe,1
10000,1e-11,1603718.74375133,1e-11,7.71461973242629e-15,1129436.94684074,-89.9814380175982,Safe,1
10000,1e-11,1804721.76682717,1e-11,1.13019179080038e-12,1195783.72499761,-89.8231429626681,Safe,1
10000,1e-11,2030917.62090473,1e-11,3.78016366888806e-12,1261664.52761523,-89.3889788695066,Safe,1
10000,1e-11,2285463.86413499,1e-11,7.44460804178819e-12,1326325.72979544,-88.672543768084,Safe,1
10000,1e-11,2571913.80905935,1e-11,1.17320079580794e-11,1388962.03635839,-87.6742391419806,Safe,1
10000,1e-11,2894266.12471675,1e-11,1.63569224876615e-11,1449246.05698583,-86.4289791273935,Safe,1
10000,1e-11,3257020.65565978,8.88623816274341e-12,4.12925021178019e-12,1633783.88843425,-88.885916500951,Safe,1
10000,1e-11,3665241.23707963,8.88623816274341e-12,8.86409807255329e-12,1699424.63890745,-87.3666589321203,Safe,1
10000,1e-11,4124626.38290135,7.89652286849973e-12,5.7859647993197e-14,1914408.18573526,-89.9652755437766,Safe,1
10000,1e-11,4641588.83361278,7.89652286849973e-12,4.47255078987299e-12,1985968.22150617,-88.1962222743152,Safe,1
10000,1e-11,5223345.07426684,7.89652286849973e-12,8.64230275524626e-12,2051801.83784122,-86.2009181413449,Safe,1
10000,1e-11,5878016.07227491,7.01703828670384e-12,1.95372744723674e-12,2313635.4810359,-88.9339812845809,Safe,1
10000,1e-11,6614740.64123015,7.01703828670384e-12,5.57574141160932e-12,2384185.69993176,-86.7092751843475,Safe,1
10000,1e-11,7443803.0132517,6.23550734127393e-12,5.55452620734676e-13,2687355.2028973,-89.5821818199058,Safe,1
10000,1e-11,8376776.40068292,6.23550734127393e-12,3.63165723903892e-12,2762628.79682593,-87.1394079463563,Safe,1
10000,1e-11,9426684.55117885,6.23550734127393e-12,6.43206420190804e-12,2826979.96906325,-84.5154659999904,Safe,1
10000,1e-11,10608183.5513945,5.5410203300095e-12,2.38188884238629e-12,3192808.09812016,-87.5012873985979,Safe,1
10000,1e-11,11937766.4171444,5.5410203300095e-12,4.69627476211324e-12,3259779.4706284,-84.6924256544575,Safe,1
10000,1e-11,13433993.325989,4.92388263170673e-12,1.57763973528103e-12,3681240.96220341,-87.8073428364616,Safe,1
10000,1e-11,15117750.7061566,4.92388263170673e-12,3.47350753452425e-12,3750342.42834533,-84.8232239585458,Safe,1
10000,1e-11,17012542.7985259,4.37547937507418e-12,1.05883155827544e-12,4235433.32879311,-88.071594208421,Safe,1
10000,1e-11,19144819.7616996,4.37547937507418e-12,2.59211223009485e-12,4304788.26955061,-84.9002323758849,Safe,1
10000,1e-11,21544346.9003188,3.88815518030809e-12,7.17459635115616e-13,4861362.39962985,-88.2659587899672,Safe,1
10000,1e-11,24244620.1708233,3.88815518030809e-12,1.95372744723674e-12,4932901.72403878,-84.9621809099142,Safe,1
10000,1e-11,27283333.7648677,3.45510729459222e-12,4.95664317808375e-13,5570288.64992481,-88.4374729835532,Safe,1
10000,1e-11,30702906.2975785,3.45510729459222e-12,1.48506429849194e-12,5641814.73063056,-84.9879848881743,Safe,1
10000,1e-11,34551072.9459222,3.07029062975785e-12,3.43300578092963e-13,6371490.4507683,-88.5779035300986,Safe,1
10000,1e-11,38881551.8030809,3.07029062975785e-12,1.1379064105328e-12,6443003.2291707,-85.0019261815463,Safe,1
10000,1e-11,43754793.7507418,2.72833337648677e-12,2.41081866638318e-13,7275853.37343661,-88.6866496009572,Safe,1
10000,1e-11,49238826.3170674,2.72833337648677e-12,8.73680684697234e-13,7346085.55127374,-84.9905054914584,Safe,1
10000,1e-11,55410203.3000949,2.42446201708233e-12,1.7357894397959e-13,8296642.82869528,-88.7752988940271,Safe,1
10000,1e-11,62355073.4127391,2.42446201708233e-12,6.76957881520381e-13,8366878.70615982,-84.9865626468858,Safe,1
10000,1e-11,70170382.8670384,2.15443469003189e-12,1.2921988051814e-13,9449221.32580901,-88.8548187676009,Safe,1
10000,1e-11,78965228.6849973,2.15443469003189e-12,5.28451451671185e-13,9514388.49952588,-84.948104047,Safe,1
10000,1e-11,88862381.6274341,1.91448197616996e-12,9.25754367891151e-14,10746156.7159691,-88.8994298598013,Safe,1
10000,1e-11,100000000,1.91448197616996e-12,4.10803500751691e-13,10809127.6630044,-84.9151236122738,Safe,1
10000,2e-11,1000000,1e-11,0.400107793219506,842911.485854599,-103.877098607415,Safe,1
10000,2e-11,1125335.58260076,1e-11,0.448073131172216,901297.619609446,-104.773754603252,Safe,1
10000,2e-11,1266380.1734674,1e-11,0.483247838219709,961457.92379778,-105.415320431453,Safe,1
10000,2e-11,1425102.670303,1e-11,0.504879419814621,1023122.26209428,-105.776675751873,Safe,1
10000,2e-11,1603718.74375133,1e-11,0.511438174117688,1086375.88981125,-105.887019494686,Safe,1
10000,2e-11,1804721.76682717,1e-11,0.502924243741453,1151044.4296489,-105.745453229846,Safe,1
10000,2e-11,2030917.62090473,1e-11,0.479284932524789,1216832.26460847,-105.344779061054,Safe,1
10000,2e-11,2285463.86413499,1e-11,0.442520293285255,1283264.85932052,-104.668823991213,Safe,1
10000,2e-11,2571913.80905935,1e-11,0.393110525969166,1350171.40061256,-103.74304291617,Safe,1
10000,2e-11,2894266.12471675,1e-11,0.33338668443775,1417201.49543281,-102.580006758883,Safe,1
10000,2e-11,3257020.65565978,1e-11,0.266816268971127,1483124.5475391,-101.128896210642,Safe,1
10000,2e-11,3665241.23707963,1e-11,0.196680931319748,1547913.71286846,-99.4504601286471,Safe,1
10000,2e-11,4124626.38290135,1e-11,0.127923727182364,1609833.03337551,-97.4882532974331,Safe,1
10000,2e-11,4641588.83361278,1e-11,0.0666509286226192,1668506.95037007,-95.2956432434561,Safe,1
10000,2e-11,5223345.07426684,1e-11,0.0206321824163169,1722599.60434468,-92.8702226528348,Safe,1
10000,2e-11,5878016.07227491,1e-11,0.000154165626918061,1770801.07222736,-90.2250631729599,Safe,1
10000,2e-11,6614740.64123015,1e-11,7.71269107748977e-12,1812007.71598691,-87.3913749675574,Safe,1
10000,2e-11,7443803.0132517,1e-11,1.53790944365782e-11,1845498.74813784,-84.4180801852222,Safe,1
10000,2e-11,8376776.40068292,8.88623816274341e-12,5.31344434070699e-12,2084748.95171372,-87.6360109163677,Safe,1
10000,2e-11,9426684.55117885,8.88623816274341e-12,1.15333564999697e-11,2118203.14670415,-84.4762514882386,Safe,1
10000,2e-11,10608183.5513945,7.89652286849973e-12,3.71458940116247e-12,2393135.084014,-87.8232373821634,Safe,1
10000,2e-11,11937766.4171444,7.89652286849973e-12,8.72523491736976e-12,2427093.27614943,-84.5191932724825,Safe,1
10000,2e-11,13433993.325989,7.01703828670384e-12,2.63068532875697e-12,2741976.61777181,-87.9750531090136,Safe,1
10000,2e-11,15117750.7061566,7.01703828670384e-12,6.65193086428203e-12,2776038.53746469,-84.5356776343485,Safe,1
10000,2e-11,17012542.7985259,6.23550734127393e-12,1.88815317951113e-12,3136685.03858085,-88.1084975027069,Safe,1
10000,2e-11,19144819.7616996,6.23550734127393e-12,5.10129229806539e-12,3169972.00290641,-84.5312876756248,Safe,1
10000,2e-11,21544346.9003188,5.5410203300095e-12,1.37513096730488e-12,3581620.83867706,-88.1977258389145,Safe,1
10000,2e-11,24244620.1708233,5.5410203300095e-12,3.93831337340273e-12,3614416.00779167,-84.5112269419298,Safe,1
10000,2e-11,27283333.7648677,4.92388263170673e-12,1.01254383988089e-12,4084438.99528088,-88.2798632912593,Safe,1
10000,2e-11,30702906.2975785,4.92388263170673e-12,3.05306075910717e-12,4116343.9613536,-84.4914216068708,Safe,1
10000,2e-11,34551072.9459222,4.37547937507418e-12,7.54104078844638e-13,4651402.90657506,-88.3401646017302,Safe,1
10000,2e-11,38881551.8030809,4.37547937507418e-12,2.37224556772076e-12,4680883.53371984,-84.4436473381648,Safe,1
10000,2e-11,43754793.7507418,3.88815518030809e-12,5.63167240467101e-13,5290136.77740664,-88.3789471884187,Safe,1
10000,2e-11,49238826.3170674,3.88815518030809e-12,1.85343739071522e-12,5317960.2791376,-84.4032675905394,Safe,1
10000,2e-11,55410203.3000949,3.45510729459222e-12,4.32018705015862e-13,6011086.34985753,-88.4204408555094,Safe,1
10000,2e-11,62355073.4127391,3.45510729459222e-12,1.45227716462913e-12,6036543.53027341,-84.3687352230346,Safe,1
10000,2e-11,70170382.8670384,3.07029062975785e-12,3.27871338628111e-13,6823111.46982323,-88.448106944132,Safe,1
10000,2e-11,78965228.6849973,3.07029062975785e-12,1.1359777555997e-12,6844147.41460135,-84.3135231923808,Safe,1
10000,2e-11,88862381.6274341,2.72833337648677e-12,2.52653796236958e-13,7736683.06034336,-88.4567292966277,Safe,1
10000,2e-11,100000000,2.72833337648677e-12,8.92967234028298e-13,7753953.74275341,-84.2620072313287,Safe,1
100000,1e-12,1000000,8.37677640068292e-13,4.17168062030852e-12,926379.400793865,-89.6307803714514,Safe,1
100000,1e-12,1125335.58260076,9.42668455117885e-13,4.86792505115963e-12,954782.015524249,-89.5456463941761,Safe,1
100000,1e-12,1266380.1734674,1.06081835513945e-12,1.54427400493706e-11,970671.395996098,-88.5160800988565,Safe,1
100000,1e-12,1425102.670303,1.06081835513945e-12,1.12228430557399e-11,1033152.81339171,-88.7779192565499,Safe,1
