Rf_ohm,Cpd_F,ft_Hz,safe_fraction_over_Cf,safe_count,total_Cf_count
10000,1e-12,1000000,1,40,40
10000,1e-12,1125335.58260076,1,40,40
10000,1e-12,1266380.1734674,1,40,40
10000,1e-12,1425102.670303,1,40,40
10000,1e-12,1603718.74375133,1,40,40
10000,1e-12,1804721.76682717,1,40,40
10000,1e-12,2030917.62090473,1,40,40
10000,1e-12,2285463.86413499,1,40,40
10000,1e-12,2571913.80905935,1,40,40
10000,1e-12,2894266.12471675,1,40,40
10000,1e-12,3257020.65565978,1,40,40
10000,1e-12,3665241.23707963,1,40,40
10000,1e-12,4124626.38290135,1,40,40
10000,1e-12,4641588.83361278,1,40,40
10000,1e-12,5223345.07426684,1,40,40
10000,1e-12,5878016.07227491,1,40,40
10000,1e-12,6614740.64123015,1,40,40
10000,1e-12,7443803.0132517,1,40,40
10000,1e-12,8376776.40068292,1,40,40
10000,1e-12,9426684.55117885,1,40,40
10000,1e-12,10608183.5513945,1,40,40
10000,1e-12,11937766.4171444,1,40,40
10000,1e-12,13433993.325989,1,40,40
10000,1e-12,15117750.7061566,1,40,40
10000,1e-12,17012542.7985259,0.9,36,40
10000,1e-12,19144819.7616996,0.825,33,40
10000,1e-12,21544346.9003188,0.775,31,40
10000,1e-12,24244620.1708233,0.75,30,40
10000,1e-12,27283333.7648677,0.725,29,40
10000,1e-12,30702906.2975785,0.725,29,40
10000,1e-12,34551072.9459222,0.7,28,40
10000,1e-12,38881551.8030809,0.7,28,40
10000,1e-12,43754793.7507418,0.7,28,40
10000,1e-12,49238826.3170674,0.7,28,40
10000,1e-12,55410203.3000949,0.7,28,40
10000,1e-12,62355073.4127391,0.725,29,40
10000,1e-12,70170382.8670384,0.725,29,40
10000,1e-12,78965228.6849973,0.725,29,40
10000,1e-12,88862381.6274341,0.725,29,40
10000,1e-12,100000000,0.75,30,40
10000,5e-12,1000000,1,40,40
10000,5e-12,1125335.58260076,1,40,40
10000,5e-12,1266380.1734674,1,40,40
10000,5e-12,1425102.670303,1,40,40
10000,5e-12,1603718.74375133,1,40,40
10000,5e-12,1804721.76682717,1,40,40
10000,5e-12,2030917.62090473,1,40,40
10000,5e-12,2285463.86413499,1,40,40
10000,5e-12,2571913.80905935,1,40,40
10000,5e-12,2894266.12471675,1,40,40
10000,5e-12,3257020.65565978,0.625,25,40
10000,5e-12,3665241.23707963,0.5,20,40
10000,5e-12,4124626.38290135,0.45,18,40
10000,5e-12,4641588.83361278,0.425,17,40
10000,5e-12,5223345.07426684,0.4,16,40
10000,5e-12,5878016.07227491,0.375,15,40
10000,5e-12,6614740.64123015,0.375,15,40
10000,5e-12,7443803.0132517,0.375,15,40
10000,5e-12,8376776.40068292,0.375,15,40
10000,5e-12,9426684.55117885,0.375,15,40
10000,5e-12,10608183.5513945,0.375,15,40
10000,5e-12,11937766.4171444,0.375,15,40
10000,5e-12,13433993.325989,0.375,15,40
10000,5e-12,15117750.7061566,0.375,15,40
10000,5e-12,17012542.7985259,0.4,16,40
10000,5e-12,19144819.7616996,0.4,16,40
10000,5e-12,21544346.9003188,0.4,16,40
10000,5e-12,24244620.1708233,0.425,17,40
10000,5e-12,27283333.7648677,0.425,17,40
10000,5e-12,30702906.2975785,0.425,17,40
10000,5e-12,34551072.9459222,0.45,18,40
10000,5e-12,38881551.8030809,0.45,18,40
10000,5e-12,43754793.7507418,0.45,18,40
10000,5e-12,49238826.3170674,0.475,19,40
10000,5e-12,55410203.3000949,0.475,19,40
10000,5e-12,62355073.4127391,0.5,20,40
10000,5e-12,70170382.8670384,0.5,20,40
10000,5e-12,78965228.6849973,0.525,21,40
10000,5e-12,88862381.6274341,0.525,21,40
10000,5e-12,100000000,0.525,21,40
10000,1e-11,1000000,1,40,40
10000,1e-11,1125335.58260076,1,40,40
10000,1e-11,1266380.1734674,1,40,40
10000,1e-11,1425102.670303,1,40,40
10000,1e-11,1603718.74375133,0.5,20,40
10000,1e-11,1804721.76682717,0.375,15,40
10000,1e-11,2030917.62090473,0.3,12,40
10000,1e-11,2285463.86413499,0.275,11,40
10000,1e-11,2571913.80905935,0.25,10,40
10000,1e-11,2894266.12471675,0.225,9,40
10000,1e-11,3257020.65565978,0.225,9,40
10000,1e-11,3665241.23707963,0.225,9,40
10000,1e-11,4124626.38290135,0.225,9,40
10000,1e-11,4641588.83361278,0.225,9,40
10000,1e-11,5223345.07426684,0.225,9,40
10000,1e-11,5878016.07227491,0.225,9,40
10000,1e-11,6614740.64123015,0.225,9,40
10000,1e-11,7443803.0132517,0.225,9,40
10000,1e-11,8376776.40068292,0.25,10,40
10000,1e-11,9426684.55117885,0.25,10,40
10000,1e-11,10608183.5513945,0.25,10,40
10000,1e-11,11937766.4171444,0.275,11,40
10000,1e-11,13433993.325989,0.275,11,40
10000,1e-11,15117750.7061566,0.275,11,40
10000,1e-11,17012542.7985259,0.3,12,40
10000,1e-11,19144819.7616996,0.3,12,40
10000,1e-11,21544346.9003188,0.3,12,40
10000,1e-11,24244620.1708233,0.325,13,40
10000,1e-11,27283333.7648677,0.325,13,40
10000,1e-11,30702906.2975785,0.35,14,40
10000,1e-11,34551072.9459222,0.35,14,40
10000,1e-11,38881551.8030809,0.375,15,40
10000,1e-11,43754793.7507418,0.375,15,40
10000,1e-11,49238826.3170674,0.375,15,40
10000,1e-11,55410203.3000949,0.4,16,40
10000,1e-11,62355073.4127391,0.4,16,40
10000,1e-11,70170382.8670384,0.425,17,40
10000,1e-11,78965228.6849973,0.425,17,40
10000,1e-11,88862381.6274341,0.45,18,40
10000,1e-11,100000000,0.45,18,40
10000,2e-11,1000000,0.175,7,40
10000,2e-11,1125335.58260076,0.125,5,40
10000,2e-11,1266380.1734674,0.1,4,40
10000,2e-11,1425102.670303,0.1,4,40
10000,2e-11,1603718.74375133,0.075,3,40
10000,2e-11,1804721.76682717,0.075,3,40
10000,2e-11,2030917.62090473,0.075,3,40
10000,2e-11,2285463.86413499,0.075,3,40
10000,2e-11,2571913.80905935,0.075,3,40
10000,2e-11,2894266.12471675,0.075,3,40
10000,2e-11,3257020.65565978,0.075,3,40
10000,2e-11,3665241.23707963,0.1,4,40
10000,2e-11,4124626.38290135,0.1,4,40
10000,2e-11,4641588.83361278,0.1,4,40
10000,2e-11,5223345.07426684,0.1,4,40
10000,2e-11,5878016.07227491,0.125,5,40
10000,2e-11,6614740.64123015,0.125,5,40
10000,2e-11,7443803.0132517,0.125,5,40
10000,2e-11,8376776.40068292,0.15,6,40
10000,2e-11,9426684.55117885,0.15,6,40
10000,2e-11,10608183.5513945,0.175,7,40
10000,2e-11,11937766.4171444,0.175,7,40
10000,2e-11,13433993.325989,0.175,7,40
10000,2e-11,15117750.7061566,0.2,8,40
10000,2e-11,17012542.7985259,0.2,8,40
10000,2e-11,19144819.7616996,0.225,9,40
10000,2e-11,21544346.9003188,0.225,9,40
10000,2e-11,24244620.1708233,0.25,10,40
10000,2e-11,27283333.7648677,0.25,10,40
10000,2e-11,30702906.2975785,0.25,10,40
10000,2e-11,34551072.9459222,0.275,11,40
10000,2e-11,38881551.8030809,0.275,11,40
10000,2e-11,43754793.7507418,0.3,12,40
10000,2e-11,49238826.3170674,0.3,12,40
10000,2e-11,55410203.3000949,0.325,13,40
10000,2e-11,62355073.4127391,0.325,13,40
10000,2e-11,70170382.8670384,0.35,14,40
10000,2e-11,78965228.6849973,0.35,14,40
10000,2e-11,88862381.6274341,0.375,15,40
10000,2e-11,100000000,0.375,15,40
100000,1e-12,1000000,1,40,40
100000,1e-12,1125335.58260076,1,40,40
100000,1e-12,1266380.1734674,1,40,40
100000,1e-12,1425102.670303,1,40,40
100000,1e-12,1603718.74375133,1,40,40
100000,1e-12,1804721.76682717,0.85,34,40
100000,1e-12,2030917.62090473,0.8,32,40
100000,1e-12,2285463.86413499,0.75,30,40
100000,1e-12,2571913.80905935,0.725,29,40
100000,1e-12,2894266.12471675,0.725,29,40
100000,1e-12,3257020.65565978,0.725,29,40
100000,1e-12,3665241.23707963,0.7,28,40
100000,1e-12,4124626.38290135,0.7,28,40
100000,1e-12,4641588.83361278,0.7,28,40
100000,1e-12,5223345.07426684,0.7,28,40
100000,1e-12,5878016.07227491,0.725,29,40
100000,1e-12,6614740.64123015,0.725,29,40
100000,1e-12,7443803.0132517,0.725,29,40
100000,1e-12,8376776.40068292,0.725,29,40
100000,1e-12,9426684.55117885,0.725,29,40
100000,1e-12,10608183.5513945,0.75,30,40
100000,1e-12,11937766.4171444,0.75,30,40
100000,1e-12,13433993.325989,0.75,30,40
100000,1e-12,15117750.7061566,0.775,31,40
100000,1e-12,17012542.7985259,0.775,31,40
100000,1e-12,19144819.7616996,0.8,32,40
100000,1e-12,21544346.9003188,0.8,32,40
100000,1e-12,24244620.1708233,0.8,32,40
100000,1e-12,27283333.7648677,0.825,33,40
100000,1e-12,30702906.2975785,0.825,33,40
100000,1e-12,34551072.9459222,0.85,34,40
100000,1e-12,38881551.8030809,0.85,34,40
100000,1e-12,43754793.7507418,0.875,35,40
100000,1e-12,49238826.3170674,0.875,35,40
100000,1e-12,55410203.3000949,0.875,35,40
100000,1e-12,62355073.4127391,0.9,36,40
100000,1e-12,70170382.8670384,0.9,36,40
100000,1e-12,78965228.6849973,0.925,37,40
100000,1e-12,88862381.6274341,0.925,37,40
100000,1e-12,100000000,0.95,38,40
100000,5e-12,1000000,0.375,15,40
100000,5e-12,1125335.58260076,0.375,15,40
100000,5e-12,1266380.1734674,0.375,15,40
100000,5e-12,1425102.670303,0.375,15,40
100000,5e-12,1603718.74375133,0.375,15,40
100000,5e-12,1804721.76682717,0.4,16,40
100000,5e-12,2030917.62090473,0.4,16,40
100000,5e-12,2285463.86413499,0.4,16,40
100000,5e-12,2571913.80905935,0.425,17,40
100000,5e-12,2894266.12471675,0.425,17,40
100000,5e-12,3257020.65565978,0.425,17,40
100000,5e-12,3665241.23707963,0.45,18,40
100000,5e-12,4124626.38290135,0.45,18,40
100000,5e-12,4641588.83361278,0.475,19,40
100000,5e-12,5223345.07426684,0.475,19,40
100000,5e-12,5878016.07227491,0.475,19,40
100000,5e-12,6614740.64123015,0.5,20,40
100000,5e-12,7443803.0132517,0.5,20,40
100000,5e-12,8376776.40068292,0.525,21,40
100000,5e-12,9426684.55117885,0.525,21,40
100000,5e-12,10608183.5513945,0.55,22,40
100000,5e-12,11937766.4171444,0.55,22,40
100000,5e-12,13433993.325989,0.575,23,40
100000,5e-12,15117750.7061566,0.575,23,40
100000,5e-12,17012542.7985259,0.575,23,40
100000,5e-12,19144819.7616996,0.6,24,40
100000,5e-12,21544346.9003188,0.6,24,40
100000,5e-12,24244620.1708233,0.625,25,40
100000,5e-12,27283333.7648677,0.625,25,40
100000,5e-12,30702906.2975785,0.65,26,40
100000,5e-12,34551072.9459222,0.65,26,40
100000,5e-12,38881551.8030809,0.675,27,40
100000,5e-12,43754793.7507418,0.675,27,40
100000,5e-12,49238826.3170674,0.7,28,40
100000,5e-12,55410203.3000949,0.7,28,40
100000,5e-12,62355073.4127391,0.725,29,40
100000,5e-12,70170382.8670384,0.725,29,40
100000,5e-12,78965228.6849973,0.75,30,40
100000,5e-12,88862381.6274341,0.75,30,40
100000,5e-12,100000000,0.775,31,40
100000,1e-11,1000000,0.25,10,40
100000,1e-11,1125335.58260076,0.25,10,40
100000,1e-11,1266380.1734674,0.275,11,40
100000,1e-11,1425102.670303,0.275,11,40
100000,1e-11,1603718.74375133,0.3,12,40
100000,1e-11,1804721.76682717,0.3,12,40
100000,1e-11,2030917.62090473,0.3,12,40
100000,1e-11,2285463.86413499,0.325,13,40
100000,1e-11,2571913.80905935,0.325,13,40
100000,1e-11,2894266.12471675,0.35,14,40
100000,1e-11,3257020.65565978,0.35,14,40
100000,1e-11,3665241.23707963,0.35,14,40
100000,1e-11,4124626.38290135,0.375,15,40
100000,1e-11,4641588.83361278,0.375,15,40
100000,1e-11,5223345.07426684,0.4,16,40
100000,1e-11,5878016.07227491,0.4,16,40
100000,1e-11,6614740.64123015,0.425,17,40
100000,1e-11,7443803.0132517,0.425,17,40
100000,1e-11,8376776.40068292,0.425,17,40
100000,1e-11,9426684.55117885,0.45,18,40
100000,1e-11,10608183.5513945,0.45,18,40
100000,1e-11,11937766.4171444,0.475,19,40
100000,1e-11,13433993.325989,0.475,19,40
100000,1e-11,15117750.7061566,0.5,20,40
100000,1e-11,17012542.7985259,0.5,20,40
100000,1e-11,19144819.7616996,0.525,21,40
100000,1e-11,21544346.9003188,0.525,21,40
100000,1e-11,24244620.1708233,0.55,22,40
100000,1e-11,27283333.7648677,0.55,22,40
100000,1e-11,30702906.2975785,0.575,23,40
100000,1e-11,34551072.9459222,0.575,23,40
100000,1e-11,38881551.8030809,0.6,24,40
100000,1e-11,43754793.7507418,0.6,24,40
100000,1e-11,49238826.3170674,0.625,25,40
100000,1e-11,55410203.3000949,0.625,25,40
100000,1e-11,62355073.4127391,0.65,26,40
100000,1e-11,70170382.8670384,0.65,26,40
100000,1e-11,78965228.6849973,0.675,27,40
100000,1e-11,88862381.6274341,0.675,27,40
100000,1e-11,100000000,0.7,28,40
100000,2e-11,1000000,0.15,6,40
100000,2e-11,1125335.58260076,0.175,7,40
100000,2e-11,1266380.1734674,0.175,7,40
100000,2e-11,1425102.670303,0.2,8,40
100000,2e-11,1603718.74375133,0.2,8,40
100000,2e-11,1804721.76682717,0.2,8,40
100000,2e-11,2030917.62090473,0.225,9,40
100000,2e-11,2285463.86413499,0.225,9,40
100000,2e-11,2571913.80905935,0.25,10,40
100000,2e-11,2894266.12471675,0.25,10,40
100000,2e-11,3257020.65565978,0.275,11,40
100000,2e-11,3665241.23707963,0.275,11,40
100000,2e-11,4124626.38290135,0.3,12,40
100000,2e-11,4641588.83361278,0.3,12,40
100000,2e-11,5223345.07426684,0.3,12,40
100000,2e-11,5878016.07227491,0.325,13,40
100000,2e-11,6614740.64123015,0.325,13,40
100000,2e-11,7443803.0132517,0.35,14,40
100000,2e-11,8376776.40068292,0.35,14,40
100000,2e-11,9426684.55117885,0.375,15,40
100000,2e-11,10608183.5513945,0.375,15,40
100000,2e-11,11937766.4171444,0.4,16,40
100000,2e-11,13433993.325989,0.4,16,40
100000,2e-11,15117750.7061566,0.425,17,40
100000,2e-11,17012542.7985259,0.425,17,40
100000,2e-11,19144819.7616996,0.45,18,40
100000,2e-11,21544346.9003188,0.45,18,40
100000,2e-11,24244620.1708233,0.475,19,40
100000,2e-11,27283333.7648677,0.475,19,40
100000,2e-11,30702906.2975785,0.5,20,40
100000,2e-11,34551072.9459222,0.5,20,40
100000,2e-11,38881551.8030809,0.525,21,40
100000,2e-11,43754793.7507418,0.525,21,40
100000,2e-11,49238826.3170674,0.55,22,40
100000,2e-11,55410203.3000949,0.55,22,40
100000,2e-11,62355073.4127391,0.575,23,40
100000,2e-11,70170382.8670384,0.575,23,40
100000,2e-11,78965228.6849973,0.6,24,40
100000,2e-11,88862381.6274341,0.6,24,40
100000,2e-11,100000000,0.625,25,40
1000000,1e-12,1000000,0.75,30,40
1000000,1e-12,1125335.58260076,0.75,30,40
1000000,1e-12,1266380.1734674,0.75,30,40
1000000,1e-12,1425102.670303,0.775,31,40
1000000,1e-12,1603718.74375133,0.775,31,40
1000000,1e-12,1804721.76682717,0.775,31,40
1000000,1e-12,2030917.62090473,0.8,32,40
1000000,1e-12,2285463.86413499,0.8,32,40
1000000,1e-12,2571913.80905935,0.825,33,40
1000000,1e-12,2894266.12471675,0.825,33,40
1000000,1e-12,3257020.65565978,0.825,33,40
1000000,1e-12,3665241.23707963,0.85,34,40
1000000,1e-12,4124626.38290135,0.85,34,40
1000000,1e-12,4641588.83361278,0.875,35,40
1000000,1e-12,5223345.07426684,0.875,35,40
1000000,1e-12,5878016.07227491,0.9,36,40
1000000,1e-12,6614740.64123015,0.9,36,40
1000000,1e-12,7443803.0132517,0.925,37,40
1000000,1e-12,8376776.40068292,0.925,37,40
1000000,1e-12,9426684.55117885,0.925,37,40
1000000,1e-12,10608183.5513945,0.95,38,40
1000000,1e-12,11937766.4171444,0.95,38,40
1000000,1e-12,13433993.325989,0.975,39,40
1000000,1e-12,15117750.7061566,0.975,39,40
1000000,1e-12,17012542.7985259,1,40,40
1000000,1e-12,19144819.7616996,1,40,40
1000000,1e-12,21544346.9003188,1,40,40
1000000,1e-12,24244620.1708233,1,40,40
1000000,1e-12,27283333.7648677,1,40,40
1000000,1e-12,30702906.2975785,1,40,40
1000000,1e-12,34551072.9459222,1,40,40
1000000,1e-12,38881551.8030809,1,40,40
1000000,1e-12,43754793.7507418,1,40,40
1000000,1e-12,49238826.3170674,1,40,40
1000000,1e-12,55410203.3000949,1,40,40
1000000,1e-12,62355073.4127391,1,40,40
1000000,1e-12,70170382.8670384,1,40,40
1000000,1e-12,78965228.6849973,1,40,40
1000000,1e-12,88862381.6274341,1,40,40
1000000,1e-12,100000000,1,40,40
1000000,5e-12,1000000,0.525,21,40
1000000,5e-12,1125335.58260076,0.55,22,40
1000000,5e-12,1266380.1734674,0.55,22,40
1000000,5e-12,1425102.670303,0.575,23,40
1000000,5e-12,1603718.74375133,0.575,23,40
1000000,5e-12,1804721.76682717,0.6,24,40
1000000,5e-12,2030917.62090473,0.6,24,40
1000000,5e-12,2285463.86413499,0.625,25,40
1000000,5e-12,2571913.80905935,0.625,25,40
1000000,5e-12,2894266.12471675,0.65,26,40
1000000,5e-12,3257020.65565978,0.65,26,40
1000000,5e-12,3665241.23707963,0.65,26,40
1000000,5e-12,4124626.38290135,0.675,27,40
1000000,5e-12,4641588.83361278,0.675,27,40
1000000,5e-12,5223345.07426684,0.7,28,40
1000000,5e-12,5878016.07227491,0.7,28,40
1000000,5e-12,6614740.64123015,0.725,29,40
1000000,5e-12,7443803.0132517,0.725,29,40
1000000,5e-12,8376776.40068292,0.75,30,40
1000000,5e-12,9426684.55117885,0.75,30,40
1000000,5e-12,10608183.5513945,0.775,31,40
1000000,5e-12,11937766.4171444,0.775,31,40
1000000,5e-12,13433993.325989,0.8,32,40
1000000,5e-12,15117750.7061566,0.8,32,40
1000000,5e-12,17012542.7985259,0.825,33,40
1000000,5e-12,19144819.7616996,0.825,33,40
1000000,5e-12,21544346.9003188,0.85,34,40
1000000,5e-12,24244620.1708233,0.85,34,40
1000000,5e-12,27283333.7648677,0.875,35,40
1000000,5e-12,30702906.2975785,0.875,35,40
1000000,5e-12,34551072.9459222,0.9,36,40
1000000,5e-12,38881551.8030809,0.9,36,40
1000000,5e-12,43754793.7507418,0.925,37,40
1000000,5e-12,49238826.3170674,0.925,37,40
1000000,5e-12,55410203.3000949,0.95,38,40
1000000,5e-12,62355073.4127391,0.95,38,40
1000000,5e-12,70170382.8670384,0.975,39,40
1000000,5e-12,78965228.6849973,0.975,39,40
1000000,5e-12,88862381.6274341,1,40,40
1000000,5e-12,100000000,1,40,40
1000000,1e-11,1000000,0.45,18,40
1000000,1e-11,1125335.58260076,0.475,19,40
1000000,1e-11,1266380.1734674,0.475,19,40
1000000,1e-11,1425102.670303,0.5,20,40
1000000,1e-11,1603718.74375133,0.5,20,40
1000000,1e-11,1804721.76682717,0.525,21,40
1000000,1e-11,2030917.62090473,0.525,21,40
1000000,1e-11,2285463.86413499,0.525,21,40
1000000,1e-11,2571913.80905935,0.55,22,40
1000000,1e-11,2894266.12471675,0.55,22,40
1000000,1e-11,3257020.65565978,0.575,23,40
1000000,1e-11,3665241.23707963,0.575,23,40
1000000,1e-11,4124626.38290135,0.6,24,40
1000000,1e-11,4641588.83361278,0.6,24,40
1000000,1e-11,5223345.07426684,0.625,25,40
1000000,1e-11,5878016.07227491,0.625,25,40
1000000,1e-11,6614740.64123015,0.65,26,40
1000000,1e-11,7443803.0132517,0.65,26,40
1000000,1e-11,8376776.40068292,0.675,27,40
1000000,1e-11,9426684.55117885,0.675,27,40
1000000,1e-11,10608183.5513945,0.7,28,40
1000000,1e-11,11937766.4171444,0.7,28,40
1000000,1e-11,13433993.325989,0.725,29,40
1000000,1e-11,15117750.7061566,0.725,29,40
1000000,1e-11,17012542.7985259,0.75,30,40
1000000,1e-11,19144819.7616996,0.75,30,40
1000000,1e-11,21544346.9003188,0.775,31,40
1000000,1e-11,24244620.1708233,0.775,31,40
1000000,1e-11,27283333.7648677,0.8,32,40
1000000,1e-11,30702906.2975785,0.8,32,40
1000000,1e-11,34551072.9459222,0.825,33,40
1000000,1e-11,38881551.8030809,0.825,33,40
1000000,1e-11,43754793.7507418,0.85,34,40
1000000,1e-11,49238826.3170674,0.85,34,40
1000000,1e-11,55410203.3000949,0.875,35,40
1000000,1e-11,62355073.4127391,0.875,35,40
1000000,1e-11,70170382.8670384,0.9,36,40
1000000,1e-11,78965228.6849973,0.9,36,40
1000000,1e-11,88862381.6274341,0.925,37,40
1000000,1e-11,100000000,0.925,37,40
1000000,2e-11,1000000,0.375,15,40
1000000,2e-11,1125335.58260076,0.4,16,40
1000000,2e-11,1266380.1734674,0.4,16,40
1000000,2e-11,1425102.670303,0.425,17,40
1000000,2e-11,1603718.74375133,0.425,17,40
1000000,2e-11,1804721.76682717,0.425,17,40
1000000,2e-11,2030917.62090473,0.45,18,40
1000000,2e-11,2285463.86413499,0.45,18,40
1000000,2e-11,2571913.80905935,0.475,19,40
1000000,2e-11,2894266.12471675,0.475,19,40
1000000,2e-11,3257020.65565978,0.5,20,40
1000000,2e-11,3665241.23707963,0.5,20,40
1000000,2e-11,4124626.38290135,0.525,21,40
1000000,2e-11,4641588.83361278,0.525,21,40
1000000,2e-11,5223345.07426684,0.55,22,40
1000000,2e-11,5878016.07227491,0.55,22,40
1000000,2e-11,6614740.64123015,0.575,23,40
1000000,2e-11,7443803.0132517,0.575,23,40
1000000,2e-11,8376776.40068292,0.6,24,40
1000000,2e-11,9426684.55117885,0.6,24,40
1000000,2e-11,10608183.5513945,0.625,25,40
1000000,2e-11,11937766.4171444,0.625,25,40
1000000,2e-11,13433993.325989,0.65,26,40
1000000,2e-11,15117750.7061566,0.65,26,40
1000000,2e-11,17012542.7985259,0.675,27,40
1000000,2e-11,19144819.7616996,0.675,27,40
1000000,2e-11,21544346.9003188,0.7,28,40
1000000,2e-11,24244620.1708233,0.7,28,40
1000000,2e-11,27283333.7648677,0.725,29,40
1000000,2e-11,30702906.2975785,0.725,29,40
1000000,2e-11,34551072.9459222,0.75,30,40
1000000,2e-11,38881551.8030809,0.75,30,40
1000000,2e-11,43754793.7507418,0.775,31,40
1000000,2e-11,49238826.3170674,0.775,31,40
1000000,2e-11,55410203.3000949,0.8,32,40
1000000,2e-11,62355073.4127391,0.8,32,40
1000000,2e-11,70170382.8670384,0.825,33,40
1000000,2e-11,78965228.6849973,0.825,33,40
1000000,2e-11,88862381.6274341,0.85,34,40
1000000,2e-11,100000000,0.85,34,40
